           |Monday                                                                                                         |Tuesday                                                                                                        |Wednesday                                                                                                      |Thursday                                                                                                       |Friday                                                                                                         
07:00-08:00|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
08:00-09:00|COMP10001/U/1/SM1/W02/09       PAR-Engineering B-102                                                           |COMP10001/U/1/SM1/L01/03       PAR-Arts West West Wing-B101 (Kathleen Fitzpatrick Theatre)                     |                                                                                                               |COMP10001/U/1/SM1/L02/03       PAR-Arts West West Wing-B101 (Kathleen Fitzpatrick Theatre)                     |                                                                                                               
09:00-10:00|COMP10001/U/1/SM1/W01/55       PAR-Alan Gilbert-123                                                            |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
10:00-11:00|                                                                                                               |ECON10004/U/1/SM1/L01/01       PAR-Arts West West Wing-B101 (Kathleen Fitzpatrick Theatre)                     |                                                                                                               |                                                                                                               |                                                                                                               
11:00-12:00|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
12:00-13:00|ECON10004/U/1/SM1/T01/48       PAR-FBE-209                                                                     |COMP10002/U/1/SM1/L02/01       PAR-Law-GM15 (David P. Derham Theatre)                                          |                                                                                                               |COMP10001/U/1/SM1/L03/03       PAR-Arts West West Wing-B101 (Kathleen Fitzpatrick Theatre)                     |                                                                                                               
13:00-14:00|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
13:15-14:15|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
14:15-15:15|COMP10002/U/1/SM1/W01/13       PAR-207 Bouverie St-B113 (Computer Lab 1)                                       |                                                                                                               |                                                                                                               |ECON10004/U/1/SM1/L02/03       PAR-Arts West West Wing-B101 (Kathleen Fitzpatrick Theatre)                     |                                                                                                               
15:15-16:15|COMP10002/U/1/SM1/W01/13       PAR-207 Bouverie St-B113 (Computer Lab 1)                                       |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
16:15-17:15|COMP10002/U/1/SM1/L01/01       PAR-Sidney Myer Asia Ctr-B02 (Carrillo Gantner Theatre)                         |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
17:15-18:15|                                                                                                               |                                                                                                               |COMP10002/U/1/SM1/L03/01       PAR-Law-GM15 (David P. Derham Theatre)                                          |                                                                                                               |                                                                                                               
18:15-19:15|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
19:15-20:15|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
20:15-21:15|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
21:15-22:15|                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               |                                                                                                               
